"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"887",0.5,14,100,100,99.5,86
"888",0.5,0.5,100,100,99.5,99.5
"889",0,6,100,100,100,94
"890",0.5,5.5,100,100,99.5,94.5
"891",0,6,100,100,100,94
"892",0,0,100,100,100,100
"893",0,1.5,100,100,100,98.5
"894",0,0.5,100,100,100,99.5
"895",0,0,100,100,100,100
"896",6,5,99.5,99.5,93.5,94.5
"897",0,0,100,100,100,100
"898",3,0,100,100,97,100
"899",0,6,100,100,100,94
"900",2,7,100,100,98,93
"901",0,3.5,100,100,100,96.5
"902",0,1,100,100,100,99
"903",0,0.5,100,100,100,99.5
"904",2,15,100,100,98,85
"905",0,3,100,100,100,97
"906",3,0,100,100,97,100
"907",1.5,0,100,100,98.5,100
"908",0,8.5,100,100,100,91.5
"909",0.5,1,100,100,99.5,99
"910",28.5,6.5,100,100,71.5,93.5
"911",1.5,0,100,100,98.5,100
"912",0,0,100,100,100,100
"913",0,0,100,100,100,100
"914",0,0,100,100,100,100
"915",0,2.5,100,100,100,97.5
"916",0.5,6.5,100,100,99.5,93.5
"917",0,3.5,100,100,100,96.5
"918",11.5,11,100,100,88.5,89
"919",0.5,10.5,100,100,99.5,89.5
"920",0,0,100,100,100,100
"921",0,4.5,99.5,99.5,99.5,95
"922",0,0.5,100,100,100,99.5
"923",1.5,5,100,100,98.5,95
"924",0.5,1.5,100,100,99.5,98.5
"925",1,0,100,100,99,100
"926",3.5,7,100,100,96.5,93
"927",0,0,100,100,100,100
"928",10.5,0.5,100,100,89.5,99.5
"929",0,2,100,100,100,98
"930",0.5,2,100,100,99.5,98
"931",0,0.5,100,100,100,99.5
"932",3,8,100,100,97,92
"933",0.5,11.5,100,100,99.5,88.5
"934",0,0,100,100,100,100
"935",9,2.5,100,100,91,97.5
"936",2.5,3.5,100,100,97.5,96.5
"937",20.5,25,100,100,79.5,75
"938",0,10,100,100,100,90
"939",0,7.5,100,100,100,92.5
"940",0,31,100,100,100,69
"941",1,4.5,100,100,99,95.5
"942",1,0,100,100,99,100
"943",0,3,100,100,100,97
"944",2,0,100,100,98,100
"945",1,1,100,100,99,99
"946",0,0,100,100,100,100
"947",4.5,7,100,100,95.5,93
"948",2.5,0.5,100,100,97.5,99.5
"949",1.5,4,100,100,98.5,96
"950",4.5,4,100,100,95.5,96
"951",0,0,100,100,100,100
"952",2,8.5,100,100,98,91.5
"953",1.5,9.5,100,100,98.5,90.5
"954",0,0.5,100,100,100,99.5
"955",0,1.5,100,100,100,98.5
"956",2.5,0,100,100,97.5,100
"957",30,2.5,100,100,70,97.5
"958",4,4,100,100,96,96
"959",33,0,100,100,67,100
"960",4.5,1,100,100,95.5,99
"961",0,2.5,100,100,100,97.5
"962",26.5,1.5,100,100,73.5,98.5
"963",6.5,1.5,100,100,93.5,98.5
"964",0,0.5,100,100,100,99.5
"965",0,0.5,100,100,100,99.5
"966",2.5,3,100,100,97.5,97
"967",0,0,100,100,100,100
"968",0,0,100,100,100,100
"969",0,0.5,100,100,100,99.5
"970",0,1.5,100,100,100,98.5
"971",1,0,100,100,99,100
"972",0,0.5,100,100,100,99.5
"973",5.5,7.5,100,100,94.5,92.5
"974",0,13,99.5,99.5,99.5,86.5
"975",1.5,1,100,100,98.5,99
"976",0,0,100,100,100,100
"977",0.5,0.5,100,100,99.5,99.5
"978",0,0,100,100,100,100
"979",10,10,100,100,90,90
"980",2.5,6.5,100,100,97.5,93.5
"981",0,2.5,100,100,100,97.5
"982",15.5,13,100,100,84.5,87
"983",2.5,0,100,100,97.5,100
"984",3.5,0.5,100,100,96.5,99.5
"985",4,0,100,100,96,100
"986",0.5,1.5,100,100,99.5,98.5
"987",6,0.5,100,100,94,99.5
"988",0.5,4,100,100,99.5,96
"989",0,0,100,100,100,100
"990",0,1,100,100,100,99
"991",10,0.5,100,100,90,99.5
"992",0,0,100,100,100,100
"993",0,1.5,100,100,100,98.5
"994",0,2,100,100,100,98
"995",0.5,1,100,100,99.5,99
"996",0,3.5,100,100,100,96.5
"997",2,7,100,100,98,93
"998",0,1,100,100,100,99
"999",0.5,3,100,100,99.5,97
"1000",0,4,100,100,100,96
