"","Correct_model_perc_eucledian","Correct_model_perc_mahalanovis","Null_model_perc_eucledian","Null_model_perc_mahalanovis","Percentage_difference_eucledian","Percentage_difference_mahalanovis"
"858",0,1,67,67,67,66
"859",0,8,80,80,80,72
"860",4,11,67,66,63,55
"861",1,0,84,84,83,84
"862",7,5,82,82,75,77
"863",0,2,75,76,75,74
"864",0,0,77,76,77,76
"865",2,0,93,93,91,93
"866",0,0,79,79,79,79
"867",5,0,66,67,61,67
"868",0,0,82,82,82,82
"869",2,0,77,76,75,76
"870",1,0,78,79,77,79
"871",2,8,82,80,80,72
"872",21,0,97,95,76,95
"873",0,0,69,72,69,72
"874",21,0,79,80,58,80
"875",0,0,75,75,75,75
"876",1,0,79,79,78,79
"877",1,1,79,79,78,78
"878",0,0,66,68,66,68
"879",0,0,80,81,80,81
"880",1,1,96,97,95,96
"881",4,0,73,72,69,72
"882",0,0,89,90,89,90
"883",0,0,73,74,73,74
"884",0,6,79,80,79,74
"885",9,0,74,73,65,73
"886",0,1,72,73,72,72
"887",31,0,99,99,68,99
"888",4,2,74,75,70,73
"889",0,7,69,69,69,62
"890",28,5,91,89,63,84
"891",0,0,68,68,68,68
"892",7,1,79,79,72,78
"893",2,1,77,76,75,75
"894",3,16,66,67,63,51
"895",0,4,72,72,72,68
"896",3,1,77,78,74,77
"897",3,0,69,72,66,72
"898",1,6,79,80,78,74
"899",0,0,76,75,76,75
"900",0,0,74,74,74,74
"901",0,0,78,79,78,79
"902",0,5,75,76,75,71
"903",10,15,56,54,46,39
